feature,importance
avg_attack,0.6905861026359263
num_minions,0.06233061027511627
num_spells,0.035913320472880546
avg_health,0.022051984781589765
avg_cost,0.012951878777474037
card_TOY_530,0.010026930903455175
card_TTN_479,0.007516232725918464
card_VAC_702,0.007180056610439957
card_GDB_875,0.007039530704685059
card_TIME_045,0.006899053893229167
card_CORE_EX1_144,0.006819773953767913
card_CORE_EX1_145,0.006588018771815325
card_MIS_903,0.006203751247016664
class_name_ROGUE,0.006116519124079454
card_EDR_105,0.00414707999808691
card_CORE_CS2_188,0.003962222413706643
card_SC_004,0.0035709453930565763
card_TLC_249,0.0035139646014539483
card_CORE_CS2_231,0.0031840126786391743
card_TOY_521,0.002892311242731598
card_SC_750,0.0026981094583181974
num_legendary,0.0026941882620990167
card_CORE_TSC_827,0.0026585362240019615
card_TLC_100,0.0026262172056327943
card_VAC_440,0.002294626976748001
card_CORE_UNG_205,0.002184170183832227
card_TIME_058,0.002170649638185391
card_WORK_027,0.002128670849669013
card_TLC_603,0.0020969947456683535
card_TLC_245,0.002086833867430731
card_JAM_036,0.002073072334653926
card_WW_331,0.0020243596231164507
card_RLK_970,0.0019475843731621863
card_SC_753,0.0015490351277265067
card_FIR_959,0.0014619346037838183
card_TOY_006,0.0014546519992301992
card_TLC_427,0.0014496109277837088
card_END_005,0.0014129381195255634
card_SC_010,0.0014074472848849477
class_name_PALADIN,0.0014038312881723526
num_weapons,0.001399147388408953
card_CORE_REV_906,0.0013673889887579852
card_TLC_106,0.0013581517355766872
card_GDB_101,0.00128096565545612
card_EDR_852,0.0012703723374996583
card_CORE_CFM_790,0.0012269408980118712
card_EDR_979,0.0011953507890883454
card_TIME_064,0.0011562933427104833
class_name_HUNTER,0.0011442769248135383
card_TLC_248,0.0011045535537372907
card_SC_015,0.0010930564333541482
card_END_033,0.0010452092457377445
card_EDR_492,0.0009845419183964331
card_RLK_834,0.0009802418614047875
card_EDR_846,0.0009795093661162668
card_SC_783,0.000965844086985709
card_EDR_000,0.000950352300199663
card_TLC_254,0.0008961251048105192
card_CORE_EX1_116,0.0008711910233553249
card_CORE_UNG_809,0.0008456664604420249
card_TLC_468,0.00082063318900142
card_CORE_ULD_723,0.0007987835651882992
card_CORE_REV_957,0.0007254645658498404
card_TOY_386,0.0007214199577784107
card_CORE_REV_023,0.0007130289446491267
card_FIR_929,0.000699996028973073
card_CORE_SCH_312,0.0006752197957426905
card_TIME_003,0.0006509263760005059
card_EDR_856,0.0006509078764222896
card_DEEP_034,0.0005929581236204506
card_DINO_410,0.0005903041425173875
card_CORE_MAW_033,0.0005645596477324613
card_RLK_222,0.0005366374442537705
card_EDR_572,0.0005278701064634321
card_END_004,0.0005267564264336913
card_EDR_527,0.00051731324319774
card_WW_391,0.0005156959833363653
card_WW_423,0.000510077846710134
