rank,deck_id,class,wins,losses,draws,crashes,games,winrate
91,PALADIN_4,PALADIN,622,1554,4,0,2180,0.2853
92,PRIEST_5,PRIEST,622,1553,5,0,2180,0.2853
93,WARRIOR_9,WARRIOR,599,1580,1,0,2180,0.2748
94,DRUID_8,DRUID,558,1620,2,0,2180,0.256
95,PALADIN_9,PALADIN,502,1672,6,0,2180,0.2303
96,PALADIN_3,PALADIN,495,1681,4,0,2180,0.2271
97,DEMONHUNTER_4,DEMONHUNTER,450,1721,9,0,2180,0.2064
98,PRIEST_6,PRIEST,426,1750,4,0,2180,0.1954
99,PRIEST_9,PRIEST,394,1785,1,0,2180,0.1807
100,DRUID_9,DRUID,281,1896,3,0,2180,0.1289
101,ROGUE_0,ROGUE,258,1919,3,0,2180,0.1183
102,ROGUE_7,ROGUE,255,1925,0,0,2180,0.117
103,ROGUE_4,ROGUE,225,1951,4,0,2180,0.1032
104,ROGUE_2,ROGUE,220,1960,0,0,2180,0.1009
105,ROGUE_3,ROGUE,219,1960,1,0,2180,0.1005
106,ROGUE_6,ROGUE,167,2012,1,0,2180,0.0766
107,ROGUE_5,ROGUE,151,2026,3,0,2180,0.0693
108,ROGUE_8,ROGUE,145,2034,1,0,2180,0.0665
109,ROGUE_9,ROGUE,142,2037,1,0,2180,0.0651
110,ROGUE_1,ROGUE,127,2051,2,0,2180,0.0583
